title,vendedor,precio,ubicacion_pais,ubicacion_ciudad,horometro,año_fabricacion,link
RODILLO BOMAG  BW211D-40,EQUIPO MARKETPLACE,44000,perú,lima,5280,2014,https://www.be-market.com/tiendaonline/webapp/detalle/rodillo/136625
MARTILLO CAT  H70,EQUIPO MARKETPLACE,8000,perú,lima,N/A,2011,https://www.be-market.com/tiendaonline/webapp/detalle/martillo/109667
EXCAVADORA CATERPILLAR  336DL,EQUIPO MARKETPLACE,125000,perú,arequipa metropolitana,8912,2014,https://www.be-market.com/tiendaonline/webapp/detalle/excavadora/147761
CAMION VOLQUETE SINOTRUK  A7 420,EQUIPO MARKETPLACE,56780,perú,lima,4687,2021,https://www.be-market.com/tiendaonline/webapp/detalle/camion-volquete/148034
CAMION SERVICIO HYUNDAI  H100 TRUCK,EQUIPO MARKETPLACE,12600,perú,lima,N/A,2011,https://www.be-market.com/tiendaonline/webapp/detalle/camion-servicio/147675
GENERADOR CUMMINS  MH-120Ci,EQUIPO MARKETPLACE,21059,perú,lima,N/A,2023,https://www.be-market.com/tiendaonline/webapp/detalle/generador/148290
CAMION COMPACTADOR 75  CONSTELLATION 31.280 DC MAN E5,SK RENTAL,108645,perú,lima casa matriz,15175,2022,https://www.be-market.com/tiendaonline/webapp/detalle/camion-compactador/148285
RODILLO BOMAG  BW120AD-5,SK RENTAL,26824,perú,piura,670,2020,https://www.be-market.com/tiendaonline/webapp/detalle/rodillo/148468
GENERADOR CUMMINS  C200D6,EQUIPO MARKETPLACE,17500,perú,lima,2223,2018,https://www.be-market.com/tiendaonline/webapp/detalle/generador/147689
MONTACARGAS TOYOTA  8FG70N,EQUIPO MARKETPLACE,38136,perú,arequipa metropolitana,12480,2017,https://www.be-market.com/tiendaonline/webapp/detalle/montacargas/147690
RODILLO BOMAG  BW219DH-4,SK RENTAL,64824,perú,lima,5453,2014,https://www.be-market.com/tiendaonline/webapp/detalle/rodillo/14583
RETROCARGADORA JCB  3CXTT,SK RENTAL,65941,perú,lima,2750,2021,https://www.be-market.com/tiendaonline/webapp/detalle/retrocargadora/148143
GENERADOR AKSA  165E-CS,EQUIPO MARKETPLACE,16017,perú,lima,1850,2022,https://www.be-market.com/tiendaonline/webapp/detalle/generador/102963
MANIPULADOR MANITOU  MRT-X 1440,EQUIPO MARKETPLACE,55085,perú,lima,10938,2017,https://www.be-market.com/tiendaonline/webapp/detalle/manipulador/66848
TORRE ILUMINACION TEREX-AMIDA  RL4000,EQUIPO MARKETPLACE,2500,perú,lima,6320,2013,https://www.be-market.com/tiendaonline/webapp/detalle/torre-iluminacion/24914
IMPLEMENTO BOBCAT  HORQUILLA S570,EQUIPO MARKETPLACE,1271,perú,arequipa,N/A,2019,https://www.be-market.com/tiendaonline/webapp/detalle/implemento/24508
MANIPULADOR MANITOU  MT-X1033 ST,SK RENTAL,77965,perú,lima,6592,2022,https://www.be-market.com/tiendaonline/webapp/detalle/manipulador/151920
CARGADOR FRONTAL VOLVO  L120 F,SK RENTAL,204529,perú,arequipa,3002,2020,https://www.be-market.com/tiendaonline/webapp/detalle/cargador-frontal/148135
MAQUINARIA CIVIL BOBCAT  PPLN 35,EQUIPO MARKETPLACE,9000,perú,lima,N/A,2021,https://www.be-market.com/tiendaonline/webapp/detalle/maquinaria-civil/147996
CAMION SERVICIO VOLVO  FH500,EQUIPO MARKETPLACE,205000,perú,lima,7974,2019,https://www.be-market.com/tiendaonline/webapp/detalle/camion-servicio/147890
COMPRESOR ATLAS COPCO  XAS 186,EQUIPO MARKETPLACE,20500,perú,lima,2200,2016,https://www.be-market.com/tiendaonline/webapp/detalle/compresor/147470
CAMION COMPACTADOR VOLKSWAGEN  CONSTELLATION 31.280 DC MAN E5,SK RENTAL,108534,perú,lima casa matriz,15438,2022,https://www.be-market.com/tiendaonline/webapp/detalle/camion-compactador/148539
CAMION VOLQUETE MERCEDES BENZ  ACTROS 3344K,EQUIPO MARKETPLACE,80000,perú,lima,10150,2013,https://www.be-market.com/tiendaonline/webapp/detalle/camion-volquete/148049
RODILLO HAMM  3520,EQUIPO MARKETPLACE,80000,perú,arequipa metropolitana,8603,2017,https://www.be-market.com/tiendaonline/webapp/detalle/rodillo/147763
GENERADOR MITSUBISHI  8DC9-TL,EQUIPO MARKETPLACE,14000,perú,lima,8000,2014,https://www.be-market.com/tiendaonline/webapp/detalle/generador/149184
GENERADOR CUMMINS  C100D6,EQUIPO MARKETPLACE,12600,perú,lima,1209,2022,https://www.be-market.com/tiendaonline/webapp/detalle/generador/148428
RETROCARGADORA JCB  3C PLUS,EQUIPO MARKETPLACE,45000,perú,lima,5600,2014,https://www.be-market.com/tiendaonline/webapp/detalle/retrocargadora/46003
MOTONIVELADORA KOMATSU  GD555-5,SK RENTAL,176588,perú,piura,4561,2020,https://www.be-market.com/tiendaonline/webapp/detalle/motoniveladora/148240
IMPLEMENTO BOBCAT  8811 BACKHOE,EQUIPO MARKETPLACE,12000,perú,lima,N/A,2021,https://www.be-market.com/tiendaonline/webapp/detalle/implemento/147992
TORRE ILUMINACION STORIKE  4VA4000,EQUIPO MARKETPLACE,6100,perú,lima,N/A,2024,https://www.be-market.com/tiendaonline/webapp/detalle/torre-iluminacion/148519
CAMION SERVICIO ZOOMLION  QY30V,EQUIPO MARKETPLACE,100000,perú,lima,7469,2012,https://www.be-market.com/tiendaonline/webapp/detalle/camion-servicio/147462
CARGADOR VOLVO  L150 H,EQUIPO MARKETPLACE,130000,perú,lima,9000,2016,https://www.be-market.com/tiendaonline/webapp/detalle/cargador/148332
CAMION VOLQUETE SINOTRUK  A7 420,EQUIPO MARKETPLACE,56800,perú,lima,4756,2021,https://www.be-market.com/tiendaonline/webapp/detalle/camion-volquete/148036
CARGADOR VOLVO  L120 F,EQUIPO MARKETPLACE,167000,perú,lima,2883,2021,https://www.be-market.com/tiendaonline/webapp/detalle/cargador/147764
RETROCARGADORA BOBCAT  B730,EQUIPO MARKETPLACE,50850,perú,puno,2752,2019,https://www.be-market.com/tiendaonline/webapp/detalle/retrocargadora/24856
RETROCARGADORA JOHN DEERE  310 SG,EQUIPO MARKETPLACE,35000,perú,pasco,10500,2009,https://www.be-market.com/tiendaonline/webapp/detalle/retrocargadora/151908
RETROCARGADORA JCB  3CXTT,SK RENTAL,72647,perú,lima,3690,2022,https://www.be-market.com/tiendaonline/webapp/detalle/retrocargadora/148239
CAMION VOLQUETE SINOTRUK  A7 420,EQUIPO MARKETPLACE,56800,perú,lima,4326,2021,https://www.be-market.com/tiendaonline/webapp/detalle/camion-volquete/148043
RODILLO CATERPILLAR  CB22,EQUIPO MARKETPLACE,19000,perú,lima,952,2013,https://www.be-market.com/tiendaonline/webapp/detalle/rodillo/24263
CAMION VOLQUETE SCANIA  P450,EQUIPO MARKETPLACE,131356,perú,lima,2285,2021,https://www.be-market.com/tiendaonline/webapp/detalle/camion-volquete/148483
MINICARGADOR BOBCAT  S570,EQUIPO MARKETPLACE,30500,perú,arequipa metropolitana,2365,2020,https://www.be-market.com/tiendaonline/webapp/detalle/minicargador/148349
COMPRESOR ATLAS COPCO  XAS 87,EQUIPO MARKETPLACE,12000,perú,lima,2400,2016,https://www.be-market.com/tiendaonline/webapp/detalle/compresor/148342
CARGADOR VOLVO  L150 F,EQUIPO MARKETPLACE,75000,perú,puno,23471,2010,https://www.be-market.com/tiendaonline/webapp/detalle/cargador/147802
CARGADOR KOMATSU  WA470-6,EQUIPO MARKETPLACE,65000,perú,lima,19000,2010,https://www.be-market.com/tiendaonline/webapp/detalle/cargador/24265
