PaginaWeb,Nombre de la máquina,Vendedor,Precio,País de venta,Horómetro,Ciudad de venta,Marca,Año de fabricación,Enlace,Fecha de reporte
Maquinet,Motoniveladora Caterpillar 140GC,Ferreyros S.A.,188900,Perú,4591,Lima,CATERPILLAR,2021,https://maquinet.com/motoniveladora-caterpillar-140gc-ano-2021.html,12/10/2024
Maquinet,Motoniveladora Caterpillar 140K,Ferreyros S.A.,183400,Perú,4399,Lima,CATERPILLAR,2018,https://maquinet.com/motoniveladora-caterpillar-140k-ano-2018.html,12/10/2024
Maquinet,Tractor sobre orugas Caterpillar D8T,Ferreyros S.A.,194500,Perú,7413,Lima,CATERPILLAR,2018,https://maquinet.com/tractor-sobre-orugas-caterpillar-d8t-ano-2018.html,12/10/2024
Maquinet,Cargador Frontal Caterpillar 950GC,Ferreyros S.A.,116700,Perú,7688,Lima,CATERPILLAR,2021,https://maquinet.com/cargador-frontal-caterpillar-950gc-4-ano-2021-html.html,12/10/2024
Maquinet,Rodillo Vibratorio Liso Caterpillar CS79B,Ferreyros S.A.,61200,Perú,8155,Lima,CATERPILLAR,2020,https://maquinet.com/rodillo-vibratorio-liso-caterpillar-cs79b-ano-2020.html,12/10/2024
Maquinet,Camión  Baranda Mercedes Benz L13183,No disponible,8000,Perú,131585,Arequipa,MERCEDES BENZ,1988,https://maquinet.com/camion-baranda-l13183-ano-1988.html,12/10/2024
Maquinet,Cargador Frontal Caterpillar 966G,No disponible,52000,Perú,40039,Arequipa,CATERPILLAR,2004,https://maquinet.com/cargador-frontal-caterpillar-966g-ano-2004.html,12/10/2024
Maquinet,Grúa Móvil KRUPP KMK5120,No disponible,220000,Perú,24732,Arequipa,KRUPP,1994,https://maquinet.com/grua-movil-krupp-kmk5120-ano-1994.html,12/10/2024
Maquinet,Grúa Móvil TEREXRT555-1,No disponible,85000,Perú,2129,Arequipa,TEREX,2006,https://maquinet.com/grua-movil-terex-rt555-1-ano-2006.html,12/10/2024
Maquinet,Tractor sobre orugas Caterpillar D6R,No disponible,40000,Perú,18854,Arequipa,CATERPILLAR,2003,https://maquinet.com/tractor-sobre-orugas-caterpillar-d6r-ano-2003.html,12/10/2024
Maquinet,Grúa Móvil TEREX EXPLORER 5600,Trex Chile,475000,Chile,1130,"Antofagasta, Chile",TEREX,2016,https://maquinet.com/grua-movil-terex-explorer-5600.html,12/10/2024
Maquinet,Excavadora Caterpillar 336DL,No disponible,108000,Perú,10980,Arequipa,CATERPILLAR,2013,https://maquinet.com/excavadora-sobre-orugas-caterpillar-336dl-66f17ed70ec44.html,12/10/2024
Maquinet,Cargador Frontal Caterpillar 966H,No disponible,85000,Perú,16000,Arequipa,CATERPILLAR,2011,https://maquinet.com/cargador-frontal-caterpillar-966h.html,12/10/2024
Maquinet,Cargador de bajo Perfil CATERPILLAR R1300G,No disponible,250000,Perú,23198,Lima,CATERPILLAR,2017,https://maquinet.com/cargador-de-bajo-perfil-caterpillar-r1300g-66f32b641f76b.html,12/10/2024
Maquinet,Excavadora Komatsu PC350LC-8,No disponible,130000,Perú,7297,Moquegua,KOMATSU,2021,https://maquinet.com/excavadora-sobre-orugas-komatsu-pc350lc-8-66f5b3b5b2a70.html,12/10/2024
Maquinet,Rodillo liso vibratorio CATERPILLAR CS54B,No disponible,78000,Perú,4390,Cusco,CATERPILLAR,2018,https://maquinet.com/rodillo-liso-vibratorio-caterpillar-cs54b-66f5be1f9e4c5.html,12/10/2024
Maquinet,Excavadora Caterpillar 336D2L,No disponible,120000,Perú,15711,Moquegua,CATERPILLAR,2014,https://maquinet.com/excavadora-sobre-orugas-caterpillar-336d2l-66f5bf5eb8037.html,12/10/2024
Maquinet,Motoniveladora CATERPILLAR 140K,No disponible,175000,Perú,4406,Cusco,CATERPILLAR,2018,https://maquinet.com/motoniveladora-caterpillar-140k-66f5c1fcb1556.html,12/10/2024
Maquinet,Excavadora CATERPILLAR 329DL,No disponible,120000,Perú,14271,Moquegua,CATERPILLAR,2014,https://maquinet.com/excavadora-sobre-orugas-caterpillar-329dl-66f5c6b07c997.html,12/10/2024
Maquinet,Excavadora CATERPILLAR 330C,No disponible,50000,Perú,11000,La Libertad,CATERPILLAR,2006,https://maquinet.com/excavadora-sobre-orugas-caterpillar-330c-66f5cb73b0497.html,12/10/2024
Maquinet,Cargador Frontal CATERPILLAR 950H,No disponible,120000,Perú,8953,Moquegua,CATERPILLAR,2014,https://maquinet.com/cargador-frontal-caterpillar-950h-66f5cc275c442.html,12/10/2024
Maquinet,Excavadora CATERPILLAR 336D2L,No disponible,140000,Perú,8918,Moquegua,CATERPILLAR,2016,https://maquinet.com/excavadora-sobre-orugas-caterpillar-336d2l-66f5d4518815a.html,12/10/2024
Maquinet,Recicladora de Filtros SONIC DRY CLEAN SDC-6,Ferreyros S.A.,25000,Perú,No disponible,Lima,SONIC DRY CLEAN,2015,https://maquinet.com/maquina-recicladora-de-filtros-sonic-dry-clean-sdc-6.html,12/10/2024
Maquinet,Grúa Móvil TEREXEXPLORER 5600,Trex Chile,475000,Chile,2810,"Antofagasta, Chile",TEREX,2015,https://maquinet.com/grua-movil-terex-explorer-5600-5.html,12/10/2024
Maquinet,Grúas Móvil TEREX-DEMAG AC350 6L,Trex Chile,1850000,Chile,3720,"Antofagasta, Chile",TEREX-DEMAG,2018,https://maquinet.com/gruas-movil-terex-demag-ac350-6l.html,12/10/2024
Maquinet,Grúas Móvil TEREX AC140,Trex Chile,527300,Chile,5493,"Antofagasta, Chile",TEREX,2013,https://maquinet.com/gruas-movil-terex-ac140.html,12/10/2024
Maquinet,Grúas Móvil TEREX RT130,Trex Chile,235000,Chile,8111,"Antofagasta, Chile",TEREX,2011,https://maquinet.com/gruas-movil-terex-rt130.html,12/10/2024
Maquinet,Grúas móviles GROVE TMS700EU,Trex Chile,324800,Chile,6202,"Antofagasta, Chile",GROVE,2016,https://maquinet.com/gruas-moviles-grove-tms700eu.html,12/10/2024
Maquinet,Grúas móviles TEREX RT670 4X4U,Trex Chile,189200,Chile,2281,"Antofagasta, Chile",TEREX,2012,https://maquinet.com/gruas-moviles-terex-rt670-4x4u.html,12/10/2024
Maquinet,Grúa Móvil GROVE RT890U,Trex Chile,220000,Chile,4990,"Antofagasta, Chile",GROVE,2012,https://maquinet.com/grua-movil-grove-rt890u.html,12/10/2024
Maquinet,Grúa Móvil GROVE RT9130EU,Trex Chile,429900,Chile,1681,"Antofagasta, Chile",GROVE,2010,https://maquinet.com/grua-movil-grove-rt9130eu.html,12/10/2024
Maquinet,Grúa Móvil TEREX QUADSTAR1100,Trex Chile,656800,Chile,2506,"Antofagasta, Chile",TEREX,2018,https://maquinet.com/grua-movil-terex-quadstar1100.html,12/10/2024
Maquinet,Grúa Móvil DEMAG AC250-5,Trex Chile,1194500,Chile,6937,"Antofagasta, Chile",DEMAG,2019,https://maquinet.com/grua-movil-demag-ac250-5.html,12/10/2024
Maquinet,Grúas móviles DEMAG AC220-5,Trex Chile,1100000,Chile,7627,"Antofagasta, Chile",DEMAG,2018,https://maquinet.com/gruas-moviles-demag-ac220-5.html,12/10/2024
Maquinet,Motoniveladora CATERPILLAR 140K,No disponible,228000,Perú,1325,Cusco,CATERPILLAR,2021,https://maquinet.com/caterpillar-caterpillar-k-66fedf7bdd089.html,12/10/2024
Maquinet,Tractor de Orugas CATERPILLAR D6T,No disponible,120000,Perú,7772,Arequipa,CATERPILLAR,2014,https://maquinet.com/tractor-de-orugas-caterpillar-d6t-67000b8a4b011.html,12/10/2024
Maquinet,Tractor de Orugas CATERPILLAR D6RII XL,No disponible,42000,Perú,10945,Arequipa,CATERPILLAR,1999,https://maquinet.com/tractor-de-orugas-caterpillar-d6rii-xl-6706dabc989ac.html,12/10/2024
